<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KRME.XXBTZUSD,60,01/01/23,01:00,16528.7000000,16530.0000000,16505.2000000,16519.3000000,97
KRME.XXBTZUSD,60,01/01/23,02:00,16519.3000000,16539.6000000,16518.0000000,16539.0000000,84
KRME.XXBTZUSD,60,01/01/23,03:00,16539.1000000,16542.4000000,16529.9000000,16533.0000000,105
KRME.XXBTZUSD,60,01/01/23,04:00,16533.0000000,16533.0000000,16510.2000000,16522.5000000,110
KRME.XXBTZUSD,60,01/01/23,05:00,16522.6000000,16522.6000000,16506.9000000,16510.7000000,112
KRME.XXBTZUSD,60,01/01/23,06:00,16512.4000000,16522.7000000,16490.4000000,16522.7000000,72
KRME.XXBTZUSD,60,01/01/23,07:00,16521.4000000,16538.4000000,16521.3000000,16531.3000000,19
KRME.XXBTZUSD,60,01/01/23,08:00,16531.4000000,16534.1000000,16493.5000000,16514.8000000,58
KRME.XXBTZUSD,60,01/01/23,09:00,16515.0000000,16522.4000000,16490.0000000,16500.2000000,222
KRME.XXBTZUSD,60,01/01/23,10:00,16500.2000000,16529.8000000,16497.7000000,16529.8000000,9
KRME.XXBTZUSD,60,01/01/23,11:00,16529.8000000,16535.4000000,16515.8000000,16533.0000000,57
KRME.XXBTZUSD,60,01/01/23,12:00,16533.0000000,16548.2000000,16533.0000000,16548.2000000,18
KRME.XXBTZUSD,60,01/01/23,13:00,16548.3000000,16550.0000000,16548.3000000,16549.9000000,11
KRME.XXBTZUSD,60,01/01/23,14:00,16550.0000000,16550.2000000,16538.1000000,16540.5000000,33
KRME.XXBTZUSD,60,01/01/23,15:00,16540.7000000,16543.2000000,16540.3000000,16540.5000000,8
KRME.XXBTZUSD,60,01/01/23,16:00,16540.5000000,16551.6000000,16531.2000000,16551.4000000,28
KRME.XXBTZUSD,60,01/01/23,17:00,16551.4000000,16573.1000000,16551.3000000,16553.7000000,75
KRME.XXBTZUSD,60,01/01/23,18:00,16557.1000000,16587.6000000,16555.3000000,16571.5000000,33
KRME.XXBTZUSD,60,01/01/23,19:00,16572.8000000,16593.9000000,16572.7000000,16586.4000000,27
KRME.XXBTZUSD,60,01/01/23,20:00,16586.4000000,16609.6000000,16586.3000000,16597.3000000,101
KRME.XXBTZUSD,60,01/01/23,21:00,16597.4000000,16617.6000000,16597.3000000,16602.2000000,43
KRME.XXBTZUSD,60,01/01/23,22:00,16602.2000000,16602.4000000,16590.1000000,16602.3000000,19
KRME.XXBTZUSD,60,01/01/23,23:00,16602.4000000,16607.8000000,16586.5000000,16594.9000000,12
KRME.XXBTZUSD,60,02/01/23,00:00,16595.0000000,16618.7000000,16594.9000000,16614.9000000,34
KRME.XXBTZUSD,60,02/01/23,01:00,16615.0000000,16620.0000000,16580.2000000,16583.3000000,35
KRME.XXBTZUSD,60,02/01/23,02:00,16584.5000000,16584.5000000,16550.0000000,16562.2000000,10
KRME.XXBTZUSD,60,02/01/23,03:00,16562.3000000,16586.7000000,16552.8000000,16582.0000000,18
KRME.XXBTZUSD,60,02/01/23,04:00,16582.1000000,16689.9000000,16577.6000000,16655.7000000,67
KRME.XXBTZUSD,60,02/01/23,05:00,16657.7000000,16668.4000000,16628.2000000,16635.7000000,62
KRME.XXBTZUSD,60,02/01/23,06:00,16635.7000000,16645.6000000,16605.6000000,16645.6000000,106
KRME.XXBTZUSD,60,02/01/23,07:00,16645.6000000,16652.8000000,16630.1000000,16633.6000000,15
KRME.XXBTZUSD,60,02/01/23,08:00,16633.7000000,16750.0000000,16633.6000000,16720.1000000,112
KRME.XXBTZUSD,60,02/01/23,09:00,16720.2000000,16759.8000000,16707.6000000,16730.7000000,39
KRME.XXBTZUSD,60,02/01/23,10:00,16730.8000000,16737.3000000,16710.1000000,16710.2000000,12
KRME.XXBTZUSD,60,02/01/23,11:00,16710.2000000,16749.9000000,16710.1000000,16721.4000000,32
KRME.XXBTZUSD,60,02/01/23,12:00,16721.5000000,16729.9000000,16700.3000000,16728.2000000,31
KRME.XXBTZUSD,60,02/01/23,13:00,16728.3000000,16735.5000000,16717.2000000,16717.3000000,38
KRME.XXBTZUSD,60,02/01/23,14:00,16717.3000000,16717.3000000,16674.1000000,16695.4000000,48
KRME.XXBTZUSD,60,02/01/23,15:00,16695.4000000,16702.4000000,16670.6000000,16690.8000000,15
